Preview,"Vista previa"
Label,Etiqueta
Select...,Seleccionar...
Done,Hecho
Results,Resultados
Category,Categoría
Yes,Sí
Change,Cambiar
"Are you sure you want to delete this item?","¿Está seguro de que desea borrar este elemento?"
Position,Posición
Center,Centro
Identifier,Bezeichner
Title,Título
"Insert Widget","Insertar aplicación"
Categories,Categorías
Filter,Filtro
"All products","Todos los artículos"
Tags,Etiquetas
Cancel,Cancelar
Save,Guardar
"Page Information",Seiteninformation
"Logo Image","Logo imagen"
