"Image Teaser","Teaser de Imagens"
"Allowed file types: png, gif, jpg, jpeg, svg. Max file size 1MB.","Tipos de arquivos permitidos: png, gif, jpg, jpeg, svg. Tamanho máximo de arquivo de 1 MB."
"Page Group ID","ID do grupo de páginas"
"Please enter an identifier of the multilingual pages that you want to group. This page will redirect to another page with the same identifier in case that you switch between languages in your storefront.","Digite um identificador das páginas multilíngues que você deseja agrupar. Essa página será redirecionada para outra página com o mesmo identificador, caso você alterne entre os idiomas da sua loja."
"Social Media","Mídia Social"
"Open Graph Title","Título do Open Graph
"If this field is empty, the value for "Meta Title" will be used. If "Meta Title" is also empty, page title will be used.","Se este campo estiver vazio, o valor para "Meta Title" será usado. Se "Meta Title" também estiver vazio, o título da página será usado."
"Open Graph Description","Descrição do Open Graph"
"If this field is empty, the value from "Meta Description" will be used.","Se este campo estiver vazio, o valor de "Meta Descrição" será usado."
"Open Graph Image","Imagem do Open Graph"
"Open Graph Type","Tipo do Open Graph"
"article","artigo"
"Property","Propriedade"
"Custom Layout Update","Atualização de layout personalizado"
"Storefront visibility:","Visibilidade da loja:"
"Please select type of component","Por favor, selecione o tipo de componente"
"Button","Botão"
